line_number	field_count	reason	raw_preview
154089	16	16_fields_missing_information	-6.6000   34.3000  3.049728394     -4.612503052      296.4807129     0.7313620448      4.431177139      1.381271362      2.976867676     -3.098022461 
156519	16	16_fields_missing_information	-7.6500   33.5500 -1.621297836     -4.307915688      300.3432617     0.5630879849     -2.913094521     -7.832794189     -6.912490845     -6.279135704 
166721	16	16_fields_missing_information	-6.9000   30.9250 -.4104652405      1.520429611      290.5607910     0.8876417279      2.936941147     -.4677991867     -.4016418457      1.392519951 
169954	16	16_fields_missing_information	-15.8500   23.7000 -4.766205788     -8.678573608      294.9365234     0.9079594016     -5.895086288     -3.945052147     -9.836425781     -6.769088745
170183	16	16_fields_missing_information	-10.0500   29.0000  2.576034546     -.3133563995      297.4526367     0.5973315425      7.618573189      8.457708359      2.246887207     0.1563005447
170205	16	16_fields_missing_information	-7.5750   33.3500 -.2995748520     -2.562662125      289.4116211     0.7075523734      1.821844101     -7.720031738     -.9347209930     -6.651138306 
170213	16	16_fields_missing_information	-6.0500   34.2250 -1.353724480      1.442169189      296.1374512     0.7610597014     -8.279891968     -5.869293213     -1.499618530     -3.767684937 
170238	16	16_fields_missing_information	-5.1500   33.5000  2.801097870     -.7148742676E-01  279.1599121     0.6325857043      2.358473778     0.3659057617E-01  2.433532715     0.8544921875E
170389	16	16_fields_missing_information	-6.9000   30.9250 -1.623293877      1.846426964      290.8359375     0.2507372499     -3.378100395      5.252841949     -1.379724503      1.660678864 
170410	16	16_fields_missing_information	-1.9500   32.5500 0.2045726776E-01 -3.742553711      279.2619629     0.9654003531      2.121128082     -6.493270874     0.1718997955E-01 -3.666046143 
170477	16	16_fields_missing_information	-4.4000   31.9250  1.052691460      1.836810112      298.9165039     0.1089168787      1.533047676      2.265660286      1.108230591      1.831473351 
170616	16	16_fields_missing_information	-13.2000   27.1500 -.9174900055     -2.520095825      285.9497070     0.9692490101     -4.587249756     -9.064834595     -8.730590820     -12.53155518
170625	16	16_fields_missing_information	-9.4000   30.3250 -3.009879112     -1.183374405      285.9274902     0.6323243242     -3.732025146      2.759044647     -4.200592041     0.4703674316 
170678	16	16_fields_missing_information	-6.6000   34.3000 -.4451751709E-02 -2.926012993      291.0014648     0.7361824512     -3.583282471      1.347900391     -1.813400269     -1.669692993 
170898	16	16_fields_missing_information	-15.8500   23.7000 -.2984771729     -6.201751709      291.4213867     0.8246474266     0.5689306259     -10.12075806     -1.303361893     -13.86442566
